SELECT SECTION NAME,circle_code
211-GUINDY,400
212-RAJBHAVAN,400
225-KODAMBAKKAM,400
226-RANGARAJAPURAM,400
227-VIRUGAMBAKKAM,400
228-ASHOKNAGAR WEST,400
229-KK NAGAR EAST,400
230-KK NAGAR WEST,400
231-PORUR I,400
232-POONAMALLE NORTH,400
233-MANGADU,400
234-KUNDRATHUR TOWN,400
236-CHOOLAIMEEDU,400
237-KK NAGAR SOUTH,400
238-ASHOK NAGAR EAST,400
239-VADAPALANI,400
240-VALASARAVAKKAM,400
241-ALANDUR,400
242-ST. THOMAS MOUNT,400
243-ADAMBAKKAM,400
244-NANGANALLUR,400
245-MADIPAKKAM,400
260-CHINMAYANAGAR,400
261-NANDAMBAKKAM,400
263-PORUR 2,400
264-MOOVARASAMPET,400
266-SOMANGALAM,400
268-T.G.NAGAR,400
269-DASARATHPURAM,400
270-RAMAPURAM,400
274-AYYAPANTHANGAL,400
278-SALIGRAMAM,400
279-VANUVAMPET,400
281-NAZARATHPET,400
282-PARIVAKKAM,400
285-ALAGIRI NAGAR,400
286-MGR NAGAR,400
287-ALWARTHIRU NAGAR,400
301-MUGALIVAKKAM,400
302-PUZHUTHIVAKKAM,400
303-GERUGAMBAKKAM,400
304-KOVOOR,400
305-KUNDRATHUR RURAL,400
306-THIRUMUDIVAKKAM,400
307-THIRUMUDIVAKKAM IE,400
308-KUMANCHAVADI,400
309-POONAMALLE SOUTH,400
310-KARAMBAKKAM,400
318-THIRUMUDIVAKKAM RURAL,400
319-PARANIPUTHUR,400
320-MADHANANDHPURAM,400
322-MANAPAKKAM,400
324-PORUR RURAL,400
201-ADYAR,401
202-SASTRI NAGAR,401
203-INDRA NAGAR,401
204-PERUNGUDI NORTH,401
206-PALAVAKKAM,401
210-VELACHERY WEST,401
213-BESANT NAGAR,401
214-THORAIPAKKAM,401
217-THIRUVANMIYUR,401
218-ENJAMBAKKAM,401
220-THARAMANI,401
246-PALLAVARAM EAST,401
247-PAMMAL,401
248-RADHA NAGAR,401
249-MEDAVAKKAM,401
250-WEST TAMBARAM,401
251-EAST TAMBARAM,401
252-CHROMEPET,401
253-PERUNGALATHUR,401
254-PALLAVARAM WEST,401
255-KADAPPERI,401
256-SELAIYUR,401
257-NEHRU NAGAR,401
258-ANAGAPUTHUR,401
259-KILKATTALAI,401
262-CHINNAMALAI,401
265-PERUNGUDY SOUTH,401
273-SEMBAKKAM,401
275-VELACHERY EAST,401
277-KOTTIVAKKAM,401
280-SHOLINGANALLUR,401
283-CHITLAPAKKAM,401
284-MUDICHUR,401
288-VELACHERY CENTRAL,401
293-NEW COLONY,401
294-NEELANKARAI,401
295-SEMMENCHERRY,401
296-SIRUSERI,401
297-KARAPAKKAM,401
298-KANTHANCHAVADI,401
299-MCN NAGAR,401
300-TIDEL PARK,401
311-POZHICHALUR,401
312-PALLIKARANAI,401
313-MADAMBAKKAM,401
314-HASTHINAPURAM,401
315-SITHALAPAKKAM  TNSCB ,401
316-KOVILAMBAKKAM,401
317-GOWRIVAKKAM,401
327-SOLINGANALLUR NORTH,401
328-PANAIYUR,401
329-NANMANGALAM,401
330-JALLADIANPET,401
331-S.KOLATHUR,401
332-NARAYANAPURAM,401
333-ARASANKALANI,401
334-PERUMBAKKAM,401
101-ANNA SALAI,402
102-CHINDHATRIPET,402
103-CHEPAUK,402
104-ESPLANADE,402
105-SK NAGAR,402
106-MUTHIALPET,402
107-SOWCARPET WEST,402
108-KONDITHOPE,402
109-SEVEN WELLS,402
110-FLOWER BAZAAR,402
113-PUDUPET,402
121-TRIPLICANE,402
122-ICE HOUSE,402
123-ROYAPETTAH II,402
124-MYLAPORE EAST,402
125-MYLAPORE WEST,402
126-SANTHOME,402
127-MANDAVELI,402
128-LUZ,402
129-NUNGAMBAKKAM,402
131-THOUSAND LIGHTS,402
132-ALWARPET,402
133-GOPALAPURAM,402
134-WHITES ROAD,402
135-FORESHORE ESTATE,402
136-COLLEGE ROAD,402
137-BALAJINAGAR,402
141-CHOOLAI,402
142-EGMORE,402
143-PANTHEON ROAD,402
144-PERIAMET,402
145-COOKS ROAD,402
146-KILPAUK,402
147-PULIANTHOPE,402
148-PURASAIWAKKAM,402
149-KELLYS,402
150-NAMMALWARPET,402
151-OTTERI,402
152-SOWCARPET EAST,402
153-VEPERY,402
154-SOWCARPET CENTRAL,402
181-USMAN ROAD,402
182-CIT NAGAR_II,402
191-GP ROAD,402
192-GOVT ESTATE,402
193-TV PET,402
194-MANNADY,402
195-PARK TOWN,402
207-SAIDAPET EAST,402
208-TEYNAMPET,402
209-RA PURAM,402
215-NANDHANAM,402
216-SAIDAPET WEST,402
221-TNAGAR NORTH,402
222-TNAGAR CENTRAL,402
223-TNAGAR SOUTH,402
224-WEST MAMBALAM_I,402
235-TNAGAR EAST,402
271-CIT NAGAR_I,402
272-WEST MAMBALAM_II,402
001-ROYAPURAM,404
002-KALMANDAPAM,404
003-NEW WASHERMENPET,404
004-VOC NAGAR,404
005-KALADIPET,404
006-RK NAGAR,404
007-NAPPALAYAM,404
008-MINJUR TOWN,404
009-MINJUR EAST,404
010-MINJUR WEST,404
011-TONDIARPET ,404
012-TONDIARPET SS,404
013-KORRUKUPET,404
014-MANALI NEW TOWN,404
015-MANALI,404
016-ERNAVOOR,404
017-STANLY,404
018-MATHUR,404
019-MR NAGAR,404
020-VADAPERUMBAKKAM,404
021-THIRUVOTRIYUR ,404
022-THIRUVOTRIYUR SS,404
023-ENNORE,404
024-KALADIPET SS,404
025-MELUR,404
026-LAKSHMIPURAM,404
027-POOMBUHAR NAGAR,404
028-GANDHI NAGAR,404
029-TAGORE NAGAR,404
030-THIRU VI KA NAGAR,404
045-RETTERI,404
060-SATHANGADU,404
061-PERUMBUR EAST,404
062-PERAMBUR WEST,404
063-VILLIVAKKAM,404
064-AYANAVARAM,404
065-SEMBIUM,404
066-MADHAVARAM I,404
067-VYASARPADI,404
068-VALLALAR NAGAR,404
069-KODUNGAIYUR,404
070-MKB NAGAR,404
071-AGARAM,404
072-RAJAJI NAGAR,404
073-MADHAVARAM II,404
074-MANJAMBAKKAM,404
075-KOLATHUR,404
076-KKD NAGAR,404
077-SIDCO,404
078-ICF,404
079-KRISHNAMOORTHY NAGAR,404
080-PULICAT,404
081-ANDARKUPAM,404
082-PONNERI TOWN,404
083-PONNERI WEST,404
084-PONNERI EAST,404
085-PONNERI SS,404
087-PONNERI SOUTH,404
088-MEDHUR,404
089-ARANI,404
090-KAVARAPETTAI,404
091-PANJETTY,404
092-MADHARPAKKAM,404
093-GUMMIDIPOONDI TOWN,404
094-GUMMIDIPOONDI RURAL,404
095-SIPCOT I,404
096-ELAVOOR,404
097-IRULIPET,404
098-POOVALEMBEDU,404
099-SIPCOT II,404
100-DEVAMBEDU,404
031-AMBATHUR CENTRAL,406
032-AYYAPAKKAM,406
033-THIRUVERKADU,406
035-I.E SOUTH,406
036-I.E NORTH,406
037-MANGALAPURAM,406
038-KORATTUR,406
039-PADI,406
040-J.J NAGAR   NORTH,406
041-MENAMBEDU,406
042-J.J NAGAR   SOUTH,406
043-J.J.NAGAR WEST,406
046-AVADI SOUTH,406
047-AVADI NORTH,406
048-PONDESWARAM,406
049-KAMARAJ NAGAR,406
050-PATTABIRAM,406
051-PUZHAL,406
052-REDHILLS I,406
053-REDHILLS II,406
054-ALAMATHY,406
055-THIRUMULLAIVOYAL,406
056-SHOLAVARAM,406
057-SOTHUPERUMEDU,406
161-ANNA NAGAR CENTRAL,406
162-THIRUVALEESWARAR NAGAR,406
163-SHENOY NAGAR,406
164-ARUMBAKKAM,406
165-CHETPET,406
166-MADURAVOYL NORTH,406
167-AMINJIKARAI,406
168-ANNA NAGAR WEST,406
169-ANNA NAGAR NORTH,406
170-KOYAMBEDU,406
171-MAHALINGAPURAM,406
172-M M D A,406
176-NERKUNDRAM EAST,406
401-SANTHI COLONY,406
402-MADURAVOYAL SOUTH,406
